image,cls,confidence,clip_score,truncated,y,margin,softmax_scaled
openimages500_balanced/004e21eb2e686f40.jpg,cake,0.6075,0.2346,0.0,1,0.06426662,0.992959
openimages500_balanced/004e21eb2e686f40.jpg,plate,0.5109,0.2242,1.0,0,-0.015175864,0.041811146
openimages500_balanced/004e21eb2e686f40.jpg,toy,0.4492,0.1902,0.0,1,-0.019209698,0.09445386
openimages500_balanced/004e21eb2e686f40.jpg,toy,0.4468,0.2166,0.0,1,0.022193402,0.6896535
openimages500_balanced/004e21eb2e686f40.jpg,dining table,0.4444,0.1461,1.0,0,-0.09027958,0.00011795964
openimages500_balanced/004e21eb2e686f40.jpg,toy,0.4435,0.2073,0.0,1,0.010899782,0.48998615
openimages500_balanced/004e21eb2e686f40.jpg,toy,0.4419,0.1981,0.0,1,0.012027606,0.44483912
openimages500_balanced/004e21eb2e686f40.jpg,toy,0.4318,0.1864,0.0,1,-0.0109894425,0.10295711
openimages500_balanced/004e21eb2e686f40.jpg,toy,0.4316,0.2076,0.0,1,0.0001514405,0.39069036
openimages500_balanced/004e21eb2e686f40.jpg,toy,0.429,0.1864,0.0,1,-0.028861508,0.03668172
openimages500_balanced/004e21eb2e686f40.jpg,toy,0.4226,0.1995,0.0,1,0.0012549311,0.23662633
openimages500_balanced/004e21eb2e686f40.jpg,toy,0.4041,0.1993,0.0,1,0.0049135387,0.32759568
openimages500_balanced/004e21eb2e686f40.jpg,toy,0.3728,0.2124,0.0,1,0.005766079,0.31674463
openimages500_balanced/004e21eb2e686f40.jpg,fork,0.3687,0.2322,1.0,0,-0.0017984807,0.12355344
openimages500_balanced/004e21eb2e686f40.jpg,plate,0.3589,0.1724,0.0,0,-0.07053189,0.000858332
openimages500_balanced/00cd12b9ee1905a7.jpg,carrot,0.4729,0.1065,0.0,0,-0.08969253,6.9317444e-05
openimages500_balanced/00cd12b9ee1905a7.jpg,carrot,0.3856,0.1318,0.0,0,-0.09206176,8.1512444e-05
openimages500_balanced/00cd12b9ee1905a7.jpg,toy,0.3736,0.2241,0.0,1,-0.0055267364,0.14768314
openimages500_balanced/020b620f1958636a.jpg,truck,0.5631,0.2264,0.0,0,-0.001961276,0.37996042
openimages500_balanced/020b620f1958636a.jpg,truck,0.5553,0.2273,0.0,0,-0.008741617,0.26669955
openimages500_balanced/054e6e41e59175bc.jpg,toy,0.4479,0.1929,0.0,1,0.004110053,0.50858265
openimages500_balanced/0645a4aa8d1165d5.jpg,teddy bear,0.6593,0.1821,0.0,0,-0.012333721,0.11150319
openimages500_balanced/08f5c5a0622db3aa.jpg,toy,0.4946,0.1869,1.0,1,0.003730297,0.24816546
openimages500_balanced/0932995ad7c9a0d3.jpg,toy,0.5651,0.2034,0.0,1,0.01776667,0.75521153
openimages500_balanced/0932995ad7c9a0d3.jpg,chair,0.5093,0.2034,1.0,0,-0.0031137764,0.07740492
openimages500_balanced/0932995ad7c9a0d3.jpg,toy,0.3284,0.2034,1.0,1,-0.019435346,0.015989171
openimages500_balanced/0ab2b64f27f8baca.jpg,toy,0.3713,0.1808,0.0,1,-0.001698792,0.35212877
openimages500_balanced/0b5e89a49ffe9399.jpg,toy,0.4123,0.1704,0.0,1,-0.014526814,0.050046764
openimages500_balanced/0b5e89a49ffe9399.jpg,toy,0.4108,0.1931,0.0,1,-0.021276787,0.0929809
openimages500_balanced/0b5e89a49ffe9399.jpg,toy,0.4052,0.1737,0.0,1,-0.01248017,0.07269136
openimages500_balanced/0c7b07eba9d3a56b.jpg,cake,0.6608,0.161,0.0,0,-0.0005195737,0.14162882
openimages500_balanced/0c7b07eba9d3a56b.jpg,cake,0.6177,0.1564,0.0,0,-0.0033172965,0.16173026
openimages500_balanced/0c7b07eba9d3a56b.jpg,cake,0.5876,0.1776,0.0,0,0.0075102597,0.34705868
openimages500_balanced/0c7b07eba9d3a56b.jpg,cake,0.454,0.176,0.0,0,0.009263992,0.27880612
openimages500_balanced/0c7b07eba9d3a56b.jpg,cake,0.4408,0.1852,1.0,0,-0.029200658,0.01316549
openimages500_balanced/0c7b07eba9d3a56b.jpg,toy,0.4347,0.1851,0.0,1,0.0070786774,0.28373396
openimages500_balanced/0c7b07eba9d3a56b.jpg,toy,0.3902,0.1608,0.0,1,-0.022209734,0.06620956
openimages500_balanced/0c7b07eba9d3a56b.jpg,toy,0.3701,0.2036,0.0,1,0.0087170005,0.36133862
openimages500_balanced/0c7b07eba9d3a56b.jpg,toy,0.3238,0.1925,0.0,1,-0.00051787496,0.21665926
openimages500_balanced/0c7b07eba9d3a56b.jpg,toy,0.3193,0.1891,0.0,1,-0.0029729307,0.300279
openimages500_balanced/0c7b07eba9d3a56b.jpg,plate,0.3099,0.1532,1.0,0,-0.03884861,0.006085219
openimages500_balanced/01d715f1c31014df.jpg,doll,0.6283,0.2479,0.0,1,0.03620419,0.969341
openimages500_balanced/06e83fd457ccb4c0.jpg,toy,0.5408,0.2135,0.0,0,-0.021074653,0.04358151
openimages500_balanced/06e83fd457ccb4c0.jpg,toy,0.3142,0.1998,1.0,0,-0.021195963,0.007914742
openimages500_balanced/0ffac13dd8775446.jpg,doll,0.529,0.2084,1.0,1,0.024699911,0.9130397
openimages500_balanced/12b06cbeaa8b634a.jpg,doll,0.6492,0.2168,0.0,1,0.029640332,0.9418411
openimages500_balanced/19d85d98e3a84e43.jpg,toy,0.4697,0.2061,0.0,0,-0.018406078,0.13249637
openimages500_balanced/1dc281b492ef37ed.jpg,doll,0.5606,0.2407,1.0,1,0.03519261,0.96742946
openimages500_balanced/24c1fd7f6fdc6a9a.jpg,doll,0.5396,0.207,0.0,1,-0.0076646507,0.2805274
openimages500_balanced/24c1fd7f6fdc6a9a.jpg,doll,0.5217,0.2059,0.0,1,-0.0005091727,0.26487038
openimages500_balanced/24c1fd7f6fdc6a9a.jpg,doll,0.4973,0.2076,0.0,1,-0.005154133,0.3221489
openimages500_balanced/24c1fd7f6fdc6a9a.jpg,toy,0.4098,0.1952,0.0,1,0.0017087013,0.37711695
openimages500_balanced/24c1fd7f6fdc6a9a.jpg,plate,0.3246,0.1748,0.0,0,-0.042146772,0.0078368345
openimages500_balanced/24c1fd7f6fdc6a9a.jpg,plate,0.3222,0.1808,0.0,0,-0.03963156,0.007945744
openimages500_balanced/24c1fd7f6fdc6a9a.jpg,plate,0.3028,0.2025,0.0,0,-0.023547575,0.04006884
openimages500_balanced/2d57aca1cd5201aa.jpg,doll,0.5651,0.2255,0.0,1,0.02008371,0.8326633
openimages500_balanced/0709eb8e8c2d19fa.jpg,teddy bear,0.7392,0.2446,0.0,1,0.051050052,0.9892909
openimages500_balanced/0709eb8e8c2d19fa.jpg,chair,0.5002,0.1854,0.0,0,0.0008072555,0.05851322
openimages500_balanced/0709eb8e8c2d19fa.jpg,dining table,0.3531,0.1289,1.0,0,-0.11135201,1.430355e-05
